Model,Color,Year,Form Factor,Screen Size,Processor,Memory,Storage,Working Status,Estimated Value,Condition,Acquired As,Physical Damage,Activation Lock,Original Box,Warranty,Year Acquired,Comments
MacBook Pro (unibody),Silver,Early 2011,Notebook,15,Intel Core i5,4GB,None,Not Working,85,Incomplete,Used,Yes,No,No,Expired,2018,"Graphics issues, missing miscellaneous parts"
MacBook Pro (unibody),Silver,Early 2011,Notebook,15,Intel Core i7,8GB,None,Mostly Working,125,Good,Used,No,No,No,Expired,2018,"Graphics issues, performance issues"
MacBook Pro (unibody),Silver,Late 2011,Notebook,13,Intel Core i5,4GB,None,Not Working,50,Incomplete,Used,Yes,No,No,Expired,2020,"Display broken off, unable to power on, unknown issues"
MacBook Pro (unibody),Silver,Late 2011,Notebook,13,Intel Core i5,4GB,500GB,Working,320,Excellent,New,No,No,Yes,Expired,2011,First Mac
MacBook Pro (unibody),Silver,Late 2011,Notebook,15,Intel Core i7,4GB,None,Not Working,85,Incomplete,Used,Yes,No,No,Expired,2018,"Graphics issues, missing miscellaneous parts"
MacBook Pro (unibody),Silver,Mid 2012,Notebook,13,Intel Core i5,4GB,None,Not Working,50,Incomplete,Used,Yes,No,No,Expired,2020,"Unable to boot, logic board issues, missing miscellaneous parts"
MacBook Pro (unibody),Silver,Mid 2012,Notebook,13,Intel Core i5,16GB,128GB SSD,Working,300,Good,Used,No,No,No,Expired,2020,Sleep/wake issues
MacBook Pro (unibody),Silver,Mid 2012,Notebook,15,Intel Core i7,8GB,None,Not Working,200,Fair,Used,No,No,No,Expired ,2020,"Startup issues, random restarts"
MacBook Pro (unibody),Silver,Mid 2012,Notebook,15,Intel Core i7,16GB,240GB SSD,Working,500,Excellent,Used,No,No,No,Expired ,2019,FaceTime camera does not work
MacBook Pro (Retina),Silver,Mid 2012,Notebook,15,Intel Core i7,8GB,256GB SSD,Working,300,Fair,Used,Yes,No,No,Expired,2020,"Cracked display, LCD issues"
MacBook Pro (Retina),Silver,Late 2013,Notebook,13,Intel Core i5,4GB,128GB SSD,Working,300,Excellent,Used,No,No,No,Expired,2015,
MacBook Pro (Retina),Silver,Late 2013,Notebook,13,Intel Core i5,4GB,128GB SSD,Working,175,Good,Used,No,No,No,Expired,2020,LCD issues
MacBook Pro (Retina),Silver,Mid 2014,Notebook,15,Intel Core i7,16GB,512GB SSD,Working,750,Excellent ,New,No,No,Yes,Expired,2015,
MacBook Pro (Retina),Silver,Early 2015,Notebook,13,Intel Core i5,16GB,256GB SSD,Working,650,Fair,Used,No,No,No,Expired,2020,
MacBook Pro (Retina),Silver,Mid 2015,Notebook,15,Intel Core i7,16GB,1TB SSD,Working,850,Excellent,Used,No,No,No,Expired,2019,
